,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
383,praia,14.92,-23.51,298.15,78,40,3.1,CV,1595917798
384,katsuura,35.13,140.3,303.15,87,100,2.68,JP,1595917798
385,muli,2.92,73.57,301.34,78,76,5.93,MV,1595917798
386,darfield,53.53,-1.38,286.48,83,32,0.89,GB,1595917799
387,mapiripan,2.89,-72.13,295.89,93,100,0.73,CO,1595917799
388,muisne,0.6,-80.03,296.02,89,100,3.25,EC,1595917799
389,lavrentiya,65.58,-171.0,281.68,79,94,5.33,RU,1595917799
390,ballina,-28.87,153.57,293.15,49,4,5.1,AU,1595917800
391,honiara,-9.43,159.95,304.15,66,40,5.1,SB,1595917800
392,yamada,39.47,141.95,292.53,94,100,2.4,JP,1595917800
393,puri,19.8,85.85,308.15,67,40,3.6,IN,1595917800
394,iquique,-20.22,-70.14,288.15,67,90,1.0,CL,1595917801
395,sumbe,-11.21,13.84,294.43,80,78,1.78,AO,1595917801
396,ventspils,57.39,21.56,288.15,100,90,2.1,LV,1595917802
397,anadyr,64.75,177.48,288.15,77,75,4.0,RU,1595917803
398,aswan,24.09,32.91,310.2,17,0,3.76,EG,1595917803
399,hervey bay,-25.3,152.85,293.15,53,0,1.34,AU,1595917803
400,cockburn town,21.46,-71.14,300.64,77,2,7.51,TC,1595917804
401,sambava,-14.27,50.17,297.39,75,98,6.28,MG,1595917805
402,dzerzhinskoye,56.83,95.23,296.89,49,96,1.98,RU,1595917805
403,andenes,69.31,16.12,288.15,82,0,2.1,NO,1595917805
404,nemuro,43.32,145.57,289.15,87,75,2.6,JP,1595917806
405,george town,5.41,100.34,305.15,66,20,4.6,MY,1595917708
406,evensk,61.95,159.23,285.05,87,99,2.92,RU,1595917806
407,conde,-7.26,-34.91,294.51,87,6,4.92,BR,1595917806
408,dunedin,-45.87,170.5,283.15,64,100,1.79,NZ,1595917807
409,reforma,18.1,-91.02,296.81,93,100,2.56,MX,1595917807
410,biak,-0.91,122.88,299.4,79,98,3.83,ID,1595917807
411,mehamn,71.04,27.85,292.15,59,0,3.1,NO,1595917808
412,kruisfontein,-34.0,24.73,284.82,75,0,0.45,ZA,1595917808
413,thunder bay,48.4,-89.32,290.37,87,20,3.1,CA,1595917808
414,broome,42.25,-75.83,296.48,88,1,1.5,US,1595917809
415,mount gambier,-37.83,140.77,285.15,81,100,3.1,AU,1595917809
416,tura,25.52,90.22,302.22,81,100,2.9,IN,1595917809
417,cortland,42.6,-76.08,296.48,88,1,2.1,US,1595917810
418,galveston,29.37,-94.97,301.15,88,1,3.1,US,1595917810
419,gizo,-8.1,156.84,301.43,77,15,2.33,SB,1595917811
420,denpasar,-8.65,115.22,301.15,74,40,8.7,ID,1595917511
421,blagoyevo,63.37,47.92,296.37,54,15,2.95,RU,1595917811
422,half moon bay,37.46,-122.43,288.71,93,90,1.5,US,1595917811
423,kamenka,51.32,42.77,298.71,39,0,3.74,RU,1595917812
424,faanui,-16.48,-151.75,299.36,81,99,7.1,PF,1595917812
425,beloha,-25.17,45.05,293.87,63,38,5.05,MG,1595917813
426,grao mogol,-16.56,-42.89,285.62,100,29,1.33,BR,1595917813
427,deogarh,21.53,84.73,309.05,47,98,0.54,IN,1595917813
428,oussouye,12.48,-16.55,298.15,100,40,1.0,SN,1595917813
429,galle,6.04,80.22,300.77,81,100,5.67,LK,1595917814
430,ordynskoye,54.37,81.9,295.26,55,23,1.48,RU,1595917814
431,zhanaozen,43.3,52.8,304.97,14,0,6.02,KZ,1595917814
432,alice springs,-23.7,133.88,294.15,22,0,4.1,AU,1595917540
433,revda,56.8,59.93,293.15,52,20,5.0,RU,1595917815
434,lompoc,34.64,-120.46,287.15,87,90,1.5,US,1595917649
435,kempele,64.91,25.5,291.15,77,100,4.1,FI,1595917815
436,misratah,32.38,15.09,299.92,59,0,2.48,LY,1595917816
437,kenai,60.55,-151.26,288.15,71,1,7.2,US,1595917816
438,anton lizardo,19.05,-95.98,297.59,78,100,6.26,MX,1595917817
439,clemmons,36.02,-80.38,297.04,88,21,1.49,US,1595917522
440,batagay-alyta,67.8,130.41,287.39,52,99,3.78,RU,1595917817
441,palora,-1.7,-77.93,289.94,95,2,1.13,EC,1595917817
442,chimbote,-9.09,-78.58,287.84,89,84,2.46,PE,1595917818
443,bridlington,54.08,-0.19,286.48,82,0,7.2,GB,1595917818
444,oistins,13.07,-59.53,301.15,78,20,6.7,BB,1595917702
445,faya,18.39,42.45,290.15,82,75,4.6,SA,1595917819
446,alta floresta,-9.88,-56.09,293.15,77,64,1.58,BR,1595917819
447,zeya,53.75,127.27,305.29,39,0,2.66,RU,1595917820
448,barquisimeto,10.07,-69.32,290.15,100,79,2.6,VE,1595917820
449,shahdadkot,27.85,67.91,317.19,23,0,2.66,PK,1595917820
450,santa rita do passa quatro,-21.71,-47.48,288.44,80,0,0.67,BR,1595917821
451,namibe,-15.2,12.15,293.86,62,0,2.42,AO,1595917822
452,saint-francois,46.42,3.91,294.15,64,44,1.5,FR,1595917822
453,chara,56.91,118.26,302.61,39,25,6.53,RU,1595917822
454,charlottesville,38.03,-78.48,300.15,61,1,1.5,US,1595917823
455,alekseyevsk,57.84,108.35,296.56,68,100,2.03,RU,1595917823
456,tongren,27.72,109.19,305.61,54,9,1.81,CN,1595917534
457,ipixuna,-1.76,-48.8,298.15,88,0,4.6,BR,1595917824
458,tema,5.67,-0.02,297.15,88,75,4.6,GH,1595917824
459,durgapur,23.48,87.32,309.26,71,98,3.06,IN,1595917825
460,geraldton,-28.77,114.6,294.15,56,40,3.1,AU,1595917825
461,beinamar,8.67,15.38,297.2,89,36,2.22,TD,1595917826
462,leh,34.17,77.58,293.9,24,2,2.97,IN,1595917826
463,san esteban,15.2,-85.75,294.41,90,49,0.4,HN,1595917826
464,port macquarie,-31.43,152.92,291.48,70,100,4.04,AU,1595917826
465,tweed,44.48,-77.32,295.93,89,100,0.89,CA,1595917827
466,poole,50.72,-2.0,288.15,82,75,4.1,GB,1595917803
467,mufumbwe,-13.68,24.8,289.62,49,0,4.15,ZM,1595917827
468,esmeraldas,-19.76,-44.31,289.15,87,0,2.1,BR,1595917827
469,bonavista,48.65,-53.11,285.97,90,93,3.16,CA,1595917828
470,strelka,58.07,93.03,297.18,43,89,1.14,RU,1595917828
471,kastamonu,41.5,33.67,290.15,100,40,1.5,TR,1595917828
472,natal,-5.79,-35.21,295.15,88,40,2.6,BR,1595917646
473,riyadh,24.69,46.72,314.15,21,6,1.0,SA,1595917747
474,coromandel,-18.47,-47.2,288.17,74,3,2.88,BR,1595917829
475,sao miguel do guama,-1.63,-47.48,293.4,93,0,0.61,BR,1595917829
476,urengoy,65.97,78.37,290.61,45,93,6.8,RU,1595917830
477,aklavik,68.22,-135.01,288.15,72,90,2.1,CA,1595917830
478,kosh-agach,50.0,88.67,291.09,40,18,1.87,RU,1595917831
479,pathalgaon,22.57,83.47,304.1,59,100,2.07,IN,1595917831
480,esmeralda,21.85,-78.12,298.15,100,6,5.1,CU,1595917831
481,bubaque,11.28,-15.83,299.21,85,100,6.96,GW,1595917832
482,pochutla,15.74,-96.47,297.59,91,100,1.21,MX,1595917832
483,tautira,-17.73,-149.15,299.15,69,40,1.5,PF,1595917833
484,zuhres,48.01,38.26,297.71,51,100,6.81,UA,1595917833
485,yumen,40.28,97.2,309.13,11,64,5.7,CN,1595917833
486,prachuap khiri khan,11.82,99.78,303.05,75,99,2.53,TH,1595917829
487,hyeres,43.12,6.12,296.48,83,1,1.65,FR,1595917536
488,kungurtug,50.6,97.52,289.29,72,100,1.44,RU,1595917834
489,suez,29.97,32.53,302.24,50,0,4.81,EG,1595917834
490,sabang,5.89,95.32,301.5,76,100,8.12,ID,1595917834
491,brumado,-14.2,-41.67,292.23,81,78,2.52,BR,1595917537
492,aksarka,66.56,67.8,286.05,60,100,5.81,RU,1595917835
493,buraydah,26.33,43.98,308.15,34,1,4.6,SA,1595917835
494,rawlins,41.79,-107.24,293.15,40,1,4.6,US,1595917835
495,dzhebariki-khaya,62.22,135.8,292.93,76,100,1.36,RU,1595917836
496,cascais,38.7,-9.42,294.26,88,75,4.1,PT,1595917836
497,bathsheba,13.22,-59.52,301.15,78,20,6.7,BB,1595917836
498,pomerode,-26.74,-49.18,289.26,13,0,0.78,BR,1595917836
499,brae,60.4,-1.35,286.15,100,75,5.7,GB,1595917837
500,san vicente,-26.62,-54.13,287.81,100,59,0.79,AR,1595917837
501,aktau,43.65,51.2,305.15,13,0,9.0,KZ,1595917837
502,prince rupert,54.32,-130.32,284.15,93,1,0.48,CA,1595917636
503,zyryanka,65.75,150.85,292.42,54,100,7.26,RU,1595917838
504,waynesboro,38.07,-78.89,298.15,73,1,3.1,US,1595917839
505,husavik,66.04,-17.34,280.15,81,90,2.6,IS,1595917839
506,avera,33.19,-82.53,298.15,94,40,2.36,US,1595917839
507,barra patuca,15.8,-84.28,300.17,84,43,5.43,HN,1595917840
508,hobyo,5.35,48.53,301.92,64,75,10.17,SO,1595917840
509,yarmouth,41.71,-70.23,300.37,74,1,4.1,US,1595917787
510,santa barbara,34.42,-119.7,289.15,82,1,4.6,US,1595917841
511,lagoa,39.05,-27.98,295.6,90,0,2.65,PT,1595917841
512,maputo,-25.97,32.59,290.37,87,20,3.1,MZ,1595917842
513,cape canaveral,28.41,-80.6,297.59,88,75,2.6,US,1595917842
514,gat,31.61,34.76,302.04,73,0,3.19,IL,1595917842
515,khatima,28.92,79.97,301.15,88,90,1.0,IN,1595917843
516,langsa,4.47,97.97,301.84,72,100,1.84,ID,1595917843
517,polunochnoye,60.87,60.42,287.48,69,100,1.62,RU,1595917843
518,sao mateus,-18.72,-39.86,291.36,91,96,0.8,BR,1595917843
519,miyang,24.4,103.44,301.71,42,30,1.86,CN,1595917844
520,chachapoyas,-6.23,-77.87,284.92,87,86,0.67,PE,1595917844
521,tarko-sale,64.92,77.78,292.04,43,100,0.89,RU,1595917844
522,sitrah,26.15,50.62,310.15,56,6,4.1,BH,1595917845
523,gawler,-34.6,138.73,284.82,78,100,1.79,AU,1595917845
524,bontang,0.13,117.5,302.14,70,28,2.75,ID,1595917845
525,bukene,-4.23,32.88,295.99,45,0,4.83,TZ,1595917845
526,dalby,-27.18,151.27,289.15,51,40,6.7,AU,1595917846
527,chapais,49.78,-74.85,292.15,93,90,1.5,CA,1595917847
528,bayburt,40.26,40.23,302.25,23,8,2.25,TR,1595917847
529,nioro,13.35,-15.75,297.57,94,100,1.69,GM,1595917847
530,porto novo,6.5,2.6,297.15,94,40,4.6,BJ,1595917848
531,kashira,54.84,38.17,294.15,73,20,1.0,RU,1595917848
532,batticaloa,7.71,81.69,297.93,84,100,4.33,LK,1595917849
533,leshan,29.56,103.76,308.83,46,2,1.9,CN,1595917849
534,urumqi,43.8,87.6,299.15,36,26,3.0,CN,1595917566
535,seddon,-37.81,144.89,286.48,76,75,6.2,AU,1595917850
536,shingu,33.73,135.98,301.15,88,75,3.1,JP,1595917850
537,pathein,16.78,94.73,305.86,59,100,3.73,MM,1595917850
538,mnogovershinnyy,53.94,139.92,298.6,54,55,2.84,RU,1595917851
539,pelym,61.01,62.0,291.36,45,96,2.38,RU,1595917851
540,waitara,-38.92,174.25,285.37,72,100,1.79,NZ,1595917852
541,salinopolis,-0.61,-47.36,298.16,85,1,3.3,BR,1595917852
542,khandyga,62.67,135.6,290.7,91,100,0.92,RU,1595917852
543,swinoujscie,53.91,14.25,295.15,60,100,4.6,PL,1595917853
544,egvekinot,66.32,-179.17,282.62,67,60,2.54,RU,1595917853
545,camacha,33.08,-16.33,294.15,73,40,5.1,PT,1595917854
546,lozova,48.89,36.32,298.02,46,67,6.29,UA,1595917854
547,bayji,34.93,43.49,319.91,8,0,3.12,IQ,1595917854
548,ust-kuyga,70.02,135.6,281.73,69,100,5.17,RU,1595917855
