,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,port alfred,-33.59,26.89,288.57,42,0,3.51,ZA,1595917711
88,fare,-16.7,-151.02,299.58,80,94,8.24,PF,1595917711
89,kaabong,3.48,34.15,293.3,75,59,1.15,UG,1595917711
90,russkiy,43.01,131.86,300.15,61,75,5.0,RU,1595917712
91,kilindoni,-7.91,39.67,297.91,76,66,8.65,TZ,1595917712
92,tual,-5.67,132.75,299.16,81,20,9.14,ID,1595917712
93,mount isa,-20.73,139.5,297.15,13,0,6.2,AU,1595917712
94,mataura,-46.19,168.86,280.93,85,100,1.79,NZ,1595917713
95,cape town,-33.93,18.42,288.15,87,20,5.7,ZA,1595917313
96,kodiak,57.79,-152.41,287.15,82,1,0.89,US,1595917713
97,east london,-33.02,27.91,286.15,54,0,5.1,ZA,1595917535
98,cabo san lucas,22.89,-109.91,300.93,63,63,4.44,MX,1595917714
99,tiksi,71.69,128.87,278.51,82,100,6.34,RU,1595917714
100,lake havasu city,34.48,-114.32,310.15,11,1,2.1,US,1595917714
101,grinties,47.05,25.87,296.48,80,8,0.66,RO,1595917715
102,te anau,-45.42,167.72,279.77,81,100,0.52,NZ,1595917715
103,saint george,37.1,-113.58,304.15,15,1,3.6,US,1595917715
104,dingle,11.0,122.67,299.87,88,99,1.48,PH,1595917715
105,flin flon,54.77,-101.86,286.13,85,9,1.48,CA,1595917716
106,exu,-7.51,-39.72,289.19,90,16,1.48,BR,1595917716
107,namwala,-15.75,26.44,284.86,62,0,3.09,ZM,1595917716
108,hithadhoo,-0.6,73.08,301.51,78,100,5.09,MV,1595917717
109,lucea,18.45,-78.17,301.15,78,20,2.6,JM,1595917717
110,georgetown,5.41,100.34,305.15,66,20,4.6,MY,1595917717
111,yellowknife,62.46,-114.35,289.82,100,40,1.5,CA,1595917621
112,ilulissat,69.22,-51.1,277.15,93,100,3.6,GL,1595917718
113,atuona,-9.8,-139.03,299.95,70,4,11.14,PF,1595917718
114,xichang,27.9,102.26,301.27,50,89,1.5,CN,1595917718
115,suntar,62.14,117.63,289.87,62,100,3.57,RU,1595917718
116,yeppoon,-23.13,150.73,296.15,20,0,5.1,AU,1595917429
117,abalak,58.13,68.59,290.24,45,19,4.11,RU,1595917719
118,mayor pablo lagerenza,-19.93,-60.77,293.27,56,0,1.01,PY,1595917719
119,vostok,46.49,135.88,296.46,84,35,2.09,RU,1595917720
120,tyukalinsk,55.87,72.2,294.66,51,16,4.19,RU,1595917720
121,aitape,-3.14,142.35,302.57,68,5,3.2,PG,1595917720
122,jamestown,42.1,-79.24,294.82,94,90,3.6,US,1595917720
123,esperance,-33.87,121.9,291.15,55,40,5.7,AU,1595917721
124,ketchikan,55.34,-131.65,287.15,87,90,2.6,US,1595917721
125,port elizabeth,-33.92,25.57,282.15,87,7,1.0,ZA,1595917721
126,taltal,-25.4,-70.48,286.38,68,19,0.84,CL,1595917722
127,salalah,17.02,54.09,300.15,94,90,4.6,OM,1595917722
128,nanortalik,60.14,-45.24,280.38,96,100,1.32,GL,1595917722
129,praia da vitoria,38.73,-27.07,295.15,88,20,2.15,PT,1595917722
130,quelimane,-17.88,36.89,293.15,88,75,1.0,MZ,1595917722
131,campodarsego,45.51,11.92,298.15,73,0,0.5,IT,1595917723
